Time Since Start,Pressure,Flow,Apparent Power Ext,Apparent Power Int,Active Power Ext,Active Power Int,Reactive Power Ext,Reactive Power Int,World Time
250,5.410743,2.05695,35.08634,23.79807,16.55385,11.69835,30.01931,-15.310746,12:22.2
251,5.429871,0.8219496,35.14401,23.85368,16.63303,11.499145,29.88053,-15.19905,12:23.2
252,5.447778,0.6769213,35.15838,23.7536,16.58842,11.547419,29.76234,-15.156607,12:24.2
253,5.456592,0.6247331,35.09162,23.64394,16.48692,11.740853,29.92143,-15.30896,12:25.2
254,5.463074,0.5903681,35.06775,23.62443,16.56818,11.569383,29.93169,-15.05509,12:26.2
255,5.46681,0.5596655,35.05832,23.69663,16.72976,11.9326,29.79331,-15.020996,12:27.2
256,5.469422,0.540194,35.04975,23.68963,16.56778,11.989141,29.77066,-15.263705,12:28.2
257,5.470667,0.540194,35.07148,23.66557,16.50762,11.899001,29.74162,-15.168365,12:29.2
258,5.47124,0.540194,35.12502,23.65991,16.58966,12.165315,29.9634,-15.062966,12:30.2
259,5.471729,0.540194,35.17587,23.69352,16.64333,12.178481,30.07014,-15.137226,12:31.3
260,5.472132,0.540194,35.12337,23.73882,16.54003,12.010324,29.80919,-15.428664,12:32.2
261,5.472327,0.540194,35.1699,23.72186,16.54329,11.856144,29.84854,-15.210223,12:33.2
262,5.439014,2.229628,35.1705,23.73366,16.66213,11.670557,29.95993,-15.290487,12:34.2
263,5.376892,2.748459,35.08284,23.79838,16.55228,11.679257,29.82701,-15.162555,12:35.2
264,5.416931,0.9480557,35.07884,23.85777,16.4829,12.063352,29.87933,-15.080151,12:36.2
265,5.440882,0.7543795,35.04242,23.75038,16.58403,11.996278,29.84311,-15.2102,12:37.2
266,5.453809,0.6651409,34.94418,23.65557,16.5798,12.015504,29.72224,-15.191248,12:38.2
267,5.463514,0.5950681,34.88169,23.5545,16.55672,11.91659,29.80528,-15.063615,12:39.2
268,5.467896,0.5851799,34.97564,23.53635,16.47109,11.938689,29.80391,-14.97441,12:40.2
269,5.470862,0.546542,35.20147,23.67781,16.60303,12.108228,29.81934,-15.015173,12:41.2
270,5.472168,0.540194,35.2848,23.73132,16.6952,11.90366,29.99112,-15.301086,12:42.2
271,5.472962,0.540194,35.20437,23.74628,16.59384,11.795737,29.87221,-15.321408,12:43.2
272,5.473401,0.540194,35.15589,23.75397,16.58976,11.89616,29.88189,-15.091098,12:44.2
273,5.473511,0.540194,35.1336,23.75332,16.54329,11.990479,30.01693,-15.335915,12:45.2
274,5.473511,0.540194,35.16285,23.70164,16.54312,11.971494,29.86779,-15.337197,12:46.2
275,5.473572,0.5403772,35.12315,23.65452,16.57686,11.802716,29.94708,-15.18442,12:47.5
276,5.47356,0.5400719,35.13236,23.70182,16.58626,11.993921,29.96196,-15.063577,12:49.1
277,5.445117,1.688213,35.21736,23.76172,16.50247,12.089538,29.96716,-15.221918,12:49.2
278,5.42113,1.44711,35.19644,23.8138,16.55598,12.005118,29.91692,-15.379778,12:50.2
279,5.438355,0.7661598,35.13665,23.84367,16.64491,12.07119,29.82428,-15.345287,12:51.2
280,5.45282,0.6613562,35.01757,23.74628,16.51574,11.969687,29.8645,-15.304163,12:52.2
281,5.46095,0.6066655,34.94617,23.72132,16.56048,12.005665,29.73396,-15.119574,12:53.2
282,5.465686,0.5932369,35.12489,23.75486,16.64733,11.72471,29.90251,-15.004285,12:54.2
283,5.468836,0.5621071,35.25341,23.67143,16.51762,11.493726,29.88776,-15.17028,12:55.2
284,5.470313,0.5409875,35.27442,23.67173,16.54056,11.67263,30.03651,-15.2501,12:56.2
285,5.471436,0.5403772,35.40486,23.75445,16.62832,11.968288,30.21883,-15.21808,12:57.2
286,5.472095,0.540194,35.49909,23.76975,16.9081,12.013307,30.15571,-15.274994,12:58.2
287,5.47273,0.540194,35.50935,23.78778,16.88923,12.12019,30.29604,-15.377254,12:59.2
288,5.472925,0.540194,35.47986,23.75441,16.58194,12.02734,30.32091,-15.394231,13:00.2
289,5.472986,0.540194,35.45693,23.67966,16.59594,11.719282,30.18829,-14.877613,13:01.2
290,5.473023,0.540194,35.46038,23.67635,16.60316,11.436382,30.13596,-14.88729,13:02.2
291,5.370349,3.881219,35.44899,23.75174,16.51686,11.917974,30.25677,-15.350799,13:03.2
292,5.410669,1.074162,35.47825,23.92203,16.63501,12.167279,30.18046,-15.228111,13:04.2
293,5.438684,0.7921016,35.48106,23.8582,16.75271,12.142596,30.12973,-15.283616,13:05.2
294,5.452649,0.6874812,35.44536,23.70923,16.73178,11.901272,30.18287,-15.45272,13:06.2
295,5.460913,0.6429226,35.46552,23.70215,16.66077,11.921723,30.22356,-15.26432,13:07.2
296,5.465125,0.6060549,35.52902,23.72784,16.76633,11.944313,30.32942,-15.22574,13:08.2
297,5.468799,0.5934201,35.56505,23.7587,16.91101,11.854549,30.26598,-15.298997,13:09.2
298,5.470459,0.6913439,34.55034,23.31472,17.09139,11.987406,30.07263,-14.93033,13:10.2
299,5.471082,0.6905749,35.54667,23.2228,16.80544,11.64509,30.30568,-15.309612,13:11.2
300,5.47124,0.5921383,35.48826,23.66853,16.85016,11.845044,30.20837,-15.181162,13:12.2
301,5.471216,0.5911004,35.5113,23.69781,16.69307,11.636127,30.10749,-15.206229,13:13.2
302,5.471314,0.591833,35.54234,23.6912,16.60976,11.55291,30.26675,-15.285874,13:14.2
303,5.471216,0.593359,35.56452,23.71678,16.6769,11.837622,30.32278,-15.252033,13:15.2
304,5.470764,0.5942135,35.53764,23.72705,16.95062,11.948914,30.30083,-15.22545,13:16.2
305,5.470166,0.5942135,35.52901,23.68815,16.83399,12.078705,30.38348,-15.32832,13:17.2
306,5.469275,0.5942135,35.51235,23.67609,16.73199,12.051986,30.19432,-15.30426,13:18.2
307,5.468079,0.5932369,35.5996,23.7201,16.94616,12.009902,30.19244,-15.188002,13:19.2
308,5.467664,0.5943967,35.60779,23.77134,16.86701,11.978141,30.2294,-15.269613,13:20.2
309,5.467383,0.5974486,35.54926,23.75024,16.55118,11.985835,30.17082,-15.26945,13:21.2
310,5.467298,0.5935421,35.57179,23.71888,16.70083,11.785111,30.24234,-15.00992,13:22.2
311,5.467139,0.596777,35.59239,23.66922,16.90705,11.538548,30.30965,-14.965075,13:23.2
312,5.467176,0.5937863,35.63698,23.69638,16.83113,11.779904,30.32859,-15.39702,13:24.2
313,5.467029,0.5925045,35.67957,23.73468,16.7788,11.602993,30.35159,-15.332883,13:25.2
314,5.467603,0.5712021,35.63956,23.71718,16.94089,11.389299,30.38009,-15.26598,13:26.2
315,5.469995,0.540194,35.67879,23.70944,16.63027,11.767614,30.41984,-15.194721,13:27.2
316,5.471094,0.540194,35.67427,23.61539,16.71417,12.008794,30.35569,-15.127091,13:28.2
317,5.471961,0.551242,35.61534,23.5499,16.91173,11.765639,30.36964,-15.254073,13:29.2
318,5.471973,0.5430628,35.66106,23.66856,16.80513,11.392835,30.33376,-15.41218,13:30.2
319,5.4724,0.540194,35.69868,23.70063,16.68631,11.671384,30.46514,-15.247484,13:31.2
320,5.463208,1.143258,35.67522,23.6852,16.94521,11.903561,30.32644,-15.327356,13:32.2
321,5.413379,1.930782,35.64678,23.7065,16.76173,12.014515,30.31423,-15.264229,13:33.2
322,5.42771,0.9215333,34.64594,23.34975,16.97115,12.397926,30.07695,-14.879982,13:34.2
323,5.447717,0.6916926,35.58775,23.74835,16.91892,12.004134,30.29261,-15.38644,13:35.2
324,5.458045,0.6272356,35.63777,23.69598,16.90966,11.754058,30.37064,-15.05385,13:36.2
325,5.464465,0.5920772,35.69912,23.64675,16.64148,11.396377,30.43075,-15.07407,13:37.2
326,5.467237,0.5821889,35.71388,23.67636,16.69697,11.477886,30.37714,-15.20601,13:38.2
327,5.470313,0.5436732,35.63295,23.68923,16.80082,11.450784,30.38329,-14.89982,13:39.2
328,5.471448,0.5402551,35.58147,23.71139,16.71372,11.409901,30.39992,-15.01673,13:40.2
329,5.472205,0.540194,35.56174,23.74768,16.72684,11.898706,30.3105,-15.415662,13:41.2
330,5.472827,0.540194,35.51625,23.72449,16.8942,12.005092,30.32501,-15.118542,13:42.2
331,5.473181,0.540194,35.51813,23.65691,16.78275,11.932195,30.22884,-15.298036,13:43.2
332,5.473352,0.540194,35.5289,23.66522,17.77983,11.875841,30.12851,-15.377912,13:44.2
333,5.473487,0.540194,154.9016,23.62576,168.2276,11.882291,29.56671,-15.096942,13:45.2
334,5.473523,0.5407433,469.0337,23.59531,443.5105,12.031624,30.44723,-15.19097,13:46.2
335,5.473462,0.6388627,531.2336,23.16361,542.3176,12.112253,42.05154,-14.79543,13:47.2
336,5.473487,0.5405603,541.0513,23.60153,541.1083,12.011519,31.67837,-15.16897,13:48.2
337,5.473474,0.540194,539.9809,23.59816,540.0241,12.042503,31.91414,-15.098398,13:49.2
338,5.473377,0.540194,539.2273,23.60902,539.21,12.035382,31.84322,-15.149975,13:50.2
339,5.473267,0.540194,538.5615,23.63623,538.4832,11.861523,31.72311,-15.156816,13:51.2
340,5.47334,0.5403161,537.9926,23.64049,538.0034,11.990042,31.8546,-15.359478,13:52.2
341,5.473145,0.540194,537.6788,23.58845,537.6361,12.023516,31.79664,-15.223807,13:53.2
342,5.47323,0.5403161,537.7017,23.54436,537.7025,11.873026,31.79476,-15.272307,13:54.2
343,5.473157,0.540194,537.6598,23.47731,537.5642,11.859336,31.65543,-15.253863,13:55.2
344,5.473023,0.540194,537.4821,23.50888,537.4127,11.770782,31.51719,-15.130436,13:56.2
